Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/BCPK%20-%20Lower%20School%20&%20Others%20-%2009-09-2025%20-%20AM-6424%201.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit02,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20RECEPTION%20WALKING%20002%201.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit03,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/BCPK%20-%20Lower%20School%20&%20Others%20-%2009-09-2025%20-%20AM-8013%201.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit04,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/BCPK%20-%20Lower%20School%20&%20Others%20-%2009-09-2025%20-%20AM-8033.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit05,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/BCPK%20-%20Lower%20School%20&%20Others%20-%2009-09-2025%20-%20AM-8368.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit06,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20RECEPTION%20AH%20003.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit07,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20RECEPTION%20YR3%20BREAK%20016.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit08,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR%203%20ART%20003.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit09,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR%2056%20GAMES%20024.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit10,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/Front%20of%20schools%20distance%20shot.png?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit11,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/BCPK%20-%20Lower%20School%20&%20Others%20-%2009-09-2025%20-%20AM-7054-2.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit12,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20GAMES%20ROOM%20018.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit13,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20GAMES%20ROOM%20033.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit14,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR%2056%20GAMES%20051.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit15,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/BCPK%20-%20Lower%20School%20&%20Others%20-%2009-09-2025%20-%20AM-8202.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit16,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20RECEPTION%20YR3%20BREAK%20025.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit17,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR3%20MUSIC%20003.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit18,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20PHONICS%20014.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit19,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/PHOTO-2025-05-06-17-17-23%20(1).jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit20,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR7%20MATHS%20049.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit21,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR%2056%20GAMES%20028%201.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit22,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR3%20MUSIC%20044.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit23,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR8%20SCIENCE%20010.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit24,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20CLUB%20ORCHESTRA%20008.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit25,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR%20SG%20007.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit26,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR7%20MATHS%20021.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit27,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR%203%20ART%20015.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit28,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR3%20MUSIC%20037.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit29,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR7%20MATHS%20025.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit30,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR8%20SCIENCE%20013.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit31,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/BCPK%20-%20Lower%20School%20&%20Others%20-%2009-09-2025%20-%20AM-8272.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit32,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20PHONICS%20007.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit33,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR%20SG%20001.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit34,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR7%20MATHS%20065.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit35,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/WhatsApp%20Image%202025-05-06%20at%2018.36.05%20(1).jpeg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit36,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR3%20MUSIC%20035%201.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit37,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20YR%20SG%20021%20(1).jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit38,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20GAMES%20ROOM%20013.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit39,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/IMG_3817%201%201.jpeg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit40,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/IMG_3429%203.jpeg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit41,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/DPP%20BCPK%20GAMES%20ROOM%20042.jpg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit42,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/WhatsApp%20Image%202025-05-08%20at%2020.33.53%20(2).jpeg?raw=true,00:00:10,01:00:00,01/01/2018 00:00,12/31/30 23:59,yes
Exhibit43,https://github.com/Cognita-IT/AppleTV/blob/master/_BCPK_reception/bckp%20rec%20highres/cfc8dbcf-8577-476e-8c33-215a74fb0e22.JPG?raw=true,00:00:10,01:00:00,02/01/2018 00:00,12/31/30 23:60,yes
